perl-base:arm64	5.40.1-7ubuntu0.1	arm64	8129
perl-modules-5.40	5.40.1-7ubuntu0.1	all	19985
perl:arm64	5.40.1-7ubuntu0.1	arm64	836
procps:arm64	2:4.0.4-9ubuntu1	arm64	2396
python-is-python3	3.13.3-1+build1	all	16
python3-minimal:arm64	3.14.3-0ubuntu2	arm64	110
python3-packaging	26.0-1	all	288
python3-pip	25.1.1+dfsg-1ubuntu2	all	10136
python3-pip-whl	25.1.1+dfsg-1ubuntu2	all	1532
python3-setuptools-whl	78.1.1-0.1build1	all	1324
python3-venv:arm64	3.14.3-0ubuntu2	arm64	6
python3-wheel	0.46.3-2	all	115
python3.14-minimal:arm64	3.14.4-1ubuntu0.1	arm64	7420
python3.14-venv:arm64	3.14.4-1ubuntu0.1	arm64	27
python3.14:arm64	3.14.4-1ubuntu0.1	arm64	912
python3:arm64	3.14.3-0ubuntu2	arm64	80
readline-common	8.3-4	all	81
sed:arm64	4.9-2ubuntu1	arm64	360
sensible-utils	0.0.26build1	all	66
sysvinit-utils:arm64	3.15-5ubuntu1	arm64	204
tar:arm64	1.35+dfsg-4ubuntu0.4	arm64	760
tzdata	2026c-0ubuntu0.26.04.1	all	1356
ubuntu-keyring	2023.11.28.1build1	all	29
util-linux:arm64	2.41.3-3ubuntu2	arm64	4446
wget:arm64	1.25.0-2ubuntu4.4	arm64	744
xz-utils:arm64	5.8.3-1	arm64	1056
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1ubuntu3	arm64	183
